seed,model,accuracy,sensitivity_recall,specificity,precision,f1,auc_roc,auprc,mcc
13,A,0.9436619718309859,0.9473684210526315,0.9322916666666666,0.9772329246935202,0.9620689655172414,0.9856041312959818,0.9952712542876168,0.8542705753334113
13,B,0.9590268886043534,0.9796264855687606,0.8958333333333334,0.966499162479062,0.9730185497470489,0.9906709818902093,0.9969392925708083,0.8882769704165326
42,A,0.9346991037131882,0.9422750424448217,0.9114583333333334,0.9702797202797203,0.9560723514211886,0.9844192133559706,0.9947069167335416,0.8303465093885455
42,B,0.9564660691421255,0.9796264855687606,0.8854166666666666,0.9632721202003339,0.9713804713804713,0.9868067345783814,0.9948146025782418,0.8810426431696126
101,A,0.9475032010243278,0.967741935483871,0.8854166666666666,0.9628378378378378,0.9652836579170194,0.9881773486134692,0.996069596370761,0.8577214681611494
101,B,0.9526248399487837,0.969439728353141,0.9010416666666666,0.9677966101694915,0.9686174724342663,0.9875672043010753,0.9959458628073374,0.8720172288722505
202,A,0.9628681177976952,0.9898132427843803,0.8802083333333334,0.9620462046204621,0.9757322175732217,0.9890262450481041,0.9963469955224863,0.8984273170717707
202,B,0.9539052496798975,0.9796264855687606,0.875,0.9600665557404326,0.9697478991596639,0.9897778720996038,0.9966171297127163,0.8737981502650559
777,A,0.93854033290653,0.9609507640067911,0.8697916666666666,0.9576988155668359,0.9593220338983051,0.9846225947934352,0.994922588297487,0.8336890814325035
777,B,0.9590268886043534,0.969439728353141,0.9270833333333334,0.976068376068376,0.9727427597955707,0.9866121958121109,0.9951799846306999,0.8903561413081408
